# downloaded from http://physics.nist.gov/PhysRefData/Xcom/html/xcom1.html
# Constituents (Atomic Number : Fraction by Weight)
#  Z=30   : 0.027790
#  Z=48   : 0.430016
#  Z=52   : 0.542194
#  Corresponds to Cd09.Zn0.1Te, density is 5.78 gm/cc
# Photon    Coherent    Incoher.    Photoel.    Nuclear     Electron    Tot. w/     Tot. wo/   
# Energy    Scatter.    Scatter.    Absorb.     Pr. Prd.    Pr. Prd.    Coherent    Coherent   
#  (MeV)    (cm2/g)     (cm2/g)     (cm2/g)     (cm2/g)     (cm2/g)     (cm2/g)     (cm2/g)
3.806E-03   5.450E+00   2.751E-02   7.769E+02   0.000E+00   0.000E+00   7.824E+02   7.770E+02
3.828E-03   5.434E+00   2.766E-02   7.659E+02   0.000E+00   0.000E+00   7.714E+02   7.660E+02
3.851E-03   5.416E+00   2.782E-02   7.547E+02   0.000E+00   0.000E+00   7.601E+02   7.547E+02
4.000E-03   5.304E+00   2.884E-02   6.871E+02   0.000E+00   0.000E+00   6.924E+02   6.871E+02
4.018E-03   5.291E+00   2.896E-02   6.794E+02   0.000E+00   0.000E+00   6.847E+02   6.794E+02
4.018E-03   5.291E+00   2.896E-02   7.524E+02   0.000E+00   0.000E+00   7.577E+02   7.524E+02
4.038E-03   5.276E+00   2.909E-02   7.430E+02   0.000E+00   0.000E+00   7.483E+02   7.431E+02
4.341E-03   5.060E+00   3.109E-02   6.189E+02   0.000E+00   0.000E+00   6.240E+02   6.189E+02
4.341E-03   5.060E+00   3.109E-02   9.010E+02   0.000E+00   0.000E+00   9.061E+02   9.010E+02
4.478E-03   4.967E+00   3.198E-02   8.401E+02   0.000E+00   0.000E+00   8.451E+02   8.402E+02
4.612E-03   4.878E+00   3.284E-02   7.861E+02   0.000E+00   0.000E+00   7.910E+02   7.861E+02
